id,title,category,createtime,completetime,complete,user_id
188,go for a walk,programming,2022-08-15 08:21:48.710226,2022-08-16 12:56:31.697812,True,1
189,sleep,programming,2022-08-15 13:09:48.710226,2022-08-16 09:42:24.164728,True,2
190,nap,sport,2022-08-15 17:57:48.710226,2022-08-17 03:55:02.692940,True,3
191,get dressed,art,2022-08-15 22:45:48.710226,2022-08-16 17:09:50.872141,True,2
192,lay in bed,art,2022-08-16 03:33:48.710226,2022-08-16 19:06:03.595240,True,2
193,count leaves of trees,art,2022-08-16 08:21:48.710226,2022-08-17 18:43:50.588731,True,2
194,eat,programming,2022-08-16 13:09:48.710226,2022-08-17 14:51:57.259438,True,4
195,eat,programming,2022-08-16 17:57:48.710226,2022-08-18 01:25:36.906383,True,2
196,go for a walk,sport,2022-08-16 22:45:48.710226,2022-08-17 12:44:40.231037,True,2
197,go for a walk,sport,2022-08-17 03:33:48.710226,2022-08-17 22:10:52.461699,True,3
198,brush your teeth,art,2022-08-17 08:21:48.710226,2022-08-18 19:41:05.180000,True,3
199,buy socks,programming,2022-08-17 13:09:48.710226,2022-08-18 11:14:08.549414,True,2
200,eat,sport,2022-08-17 17:57:48.710226,2022-08-18 09:39:56.577926,True,5
201,drink coffee,art,2022-08-17 22:45:48.710226,2022-08-18 19:40:39.400901,True,3
202,go for a walk,programming,2022-08-18 03:33:48.710226,2022-08-18 18:52:06.824452,True,5
203,go for a walk,art,2022-08-18 08:21:48.710226,2022-08-19 12:03:28.648801,True,2
204,drink coffee,programming,2022-08-18 13:09:48.710226,2022-08-19 04:00:14.391380,True,5
205,produce shitty code,sport,2022-08-18 17:57:48.710226,2022-08-20 05:04:13.352630,True,1
206,buy socks,programming,2022-08-18 22:45:48.710226,2022-08-19 14:03:56.639388,True,4
207,produce shitty code,programming,2022-08-19 03:33:48.710226,2022-08-20 08:24:42.398067,True,1
208,brush your teeth,art,2022-08-19 08:21:48.710226,2022-08-20 11:07:19.827615,True,2
209,lay in bed,sport,2022-08-19 13:09:48.710226,2022-08-21 00:09:56.381974,True,5
210,count sand on the beach,art,2022-08-19 17:57:48.710226,2022-08-20 15:06:38.462460,True,5
211,sleep,sport,2022-08-19 22:45:48.710226,2022-08-20 22:26:07.568055,True,1
212,go for a walk,programming,2022-08-20 03:33:48.710226,2022-08-21 08:11:59.250028,True,1
213,eat,programming,2022-08-20 08:21:48.710226,2022-08-21 08:01:00.343573,True,1
214,nap,programming,2022-08-20 13:09:48.710226,2022-08-22 00:34:42.943012,True,1
215,produce shitty code,programming,2022-08-20 17:57:48.710226,2022-08-21 15:07:17.045102,True,2
216,count leaves of trees,programming,2022-08-20 22:45:48.710226,2022-08-21 22:28:50.090778,True,5
217,eat,art,2022-08-21 03:33:48.710226,2022-08-21 18:53:44.052849,True,4
218,get dressed,programming,2022-08-21 08:21:48.710226,2022-08-21 21:58:02.782396,True,3
219,count sand on the beach,programming,2022-08-21 13:09:48.710226,2022-08-22 19:40:30.377958,True,4
220,nap,programming,2022-08-21 17:57:48.710226,2022-08-22 08:01:36.050482,True,3
221,buy pants,sport,2022-08-21 22:45:48.710226,2022-08-23 02:27:44.193909,True,4
222,buy pants,art,2022-08-22 03:33:48.710226,2022-08-23 06:47:14.830184,True,3
223,drink coffee,programming,2022-08-22 08:21:48.710226,2022-08-23 00:44:33.499031,True,2
224,buy socks,art,2022-08-22 13:09:48.710226,2022-08-23 06:26:59.703915,True,3
225,brush your teeth,programming,2022-08-22 17:57:48.710226,2022-08-24 03:56:59.137905,True,1
226,count sand on the beach,programming,2022-08-22 22:45:48.710226,2022-08-23 15:21:58.484620,True,3
227,count sand on the beach,programming,2022-08-23 03:33:48.710226,2022-08-24 13:53:39.733104,True,3
228,lay in bed,sport,2022-08-23 08:21:48.710226,2022-08-24 15:17:22.541344,True,3
229,nap,programming,2022-08-23 13:09:48.710226,2022-08-24 15:11:58.207349,True,5
230,sleep,art,2022-08-23 17:57:48.710226,2022-08-24 13:06:27.623045,True,2
231,drink coffee,art,2022-08-23 22:45:48.710226,2022-08-25 00:31:56.373777,True,2
232,get dressed,sport,2022-08-24 03:33:48.710226,2022-08-24 23:22:13.151264,True,4
233,eat,programming,2022-08-24 08:21:48.710226,2022-08-25 00:08:54.548436,True,2
234,eat,sport,2022-08-24 13:09:48.710226,2022-08-25 10:32:02.346930,True,5
235,get dressed,art,2022-08-24 17:57:48.710226,2022-08-25 16:35:10.814054,True,1
236,drink coffee,programming,2022-08-24 22:45:48.710226,2022-08-25 12:04:51.215650,True,5
237,drink coffee,sport,2022-08-25 03:33:48.710226,2022-08-26 02:43:15.365753,True,3
238,produce shitty code,art,2022-08-25 08:21:48.710226,2022-08-26 18:09:31.076767,True,5
239,get dressed,art,2022-08-25 13:09:48.710226,2022-08-26 16:55:33.167447,True,5
240,drink coffee,art,2022-08-25 17:57:48.710226,2022-08-26 06:15:21.168142,True,2
241,nap,programming,2022-08-25 22:45:48.710226,2022-08-27 01:52:15.288872,True,2
242,nap,sport,2022-08-26 03:33:48.710226,2022-08-27 09:02:03.406131,True,1
243,eat,art,2022-08-26 08:21:48.710226,2022-08-27 03:45:49.055805,True,1
244,eat,programming,2022-08-26 13:09:48.710226,2022-08-27 09:00:52.520988,True,1
245,buy pants,programming,2022-08-26 17:57:48.710226,2022-08-27 08:26:09.038652,True,4
246,brush your teeth,sport,2022-08-26 22:45:48.710226,2022-08-28 03:14:07.657240,True,1
247,count leaves of trees,sport,2022-08-27 03:33:48.710226,2022-08-27 20:33:54.362661,True,4
248,buy pants,programming,2022-08-27 08:21:48.710226,2022-08-28 17:26:14.358631,True,2
249,count sand on the beach,programming,2022-08-27 13:09:48.710226,2022-08-28 06:50:20.036500,True,2
250,buy pants,sport,2022-08-27 17:57:48.710226,2022-08-29 00:57:25.417863,True,4
251,buy pants,sport,2022-08-27 22:45:48.710226,2022-08-28 19:04:14.365543,True,1
252,eat,art,2022-08-28 03:33:48.710226,2022-08-28 21:23:27.317180,True,1
253,drink coffee,art,2022-08-28 08:21:48.710226,2022-08-29 19:27:29.433892,True,4
254,nap,sport,2022-08-28 13:09:48.710226,2022-08-29 17:10:52.374027,True,4
255,count sand on the beach,art,2022-08-28 17:57:48.710226,2022-08-29 19:40:33.443581,True,5
256,count leaves of trees,art,2022-08-28 22:45:48.710226,2022-08-29 12:50:40.978747,True,3
257,brush your teeth,programming,2022-08-29 03:33:48.710226,2022-08-29 16:11:32.887211,True,4
258,count leaves of trees,art,2022-08-29 08:21:48.710226,2022-08-30 10:45:35.874859,True,2
259,sleep,sport,2022-08-29 13:09:48.710226,2022-08-30 11:04:43.265737,True,5
260,buy pants,sport,2022-08-29 17:57:48.710226,2022-08-30 15:18:57.384734,True,3
261,go for a walk,programming,2022-08-29 22:45:48.710226,2022-08-30 22:52:23.095675,True,4
262,count leaves of trees,sport,2022-08-30 03:33:48.710226,2022-08-31 01:13:32.236345,True,3
263,sleep,art,2022-08-30 08:21:48.710226,2022-08-31 17:15:46.110196,True,5
264,count sand on the beach,sport,2022-08-30 13:09:48.710226,2022-08-31 02:33:01.769216,True,5
265,buy socks,sport,2022-08-30 17:57:48.710226,2022-09-01 05:02:57.782252,True,1
266,nap,programming,2022-08-30 22:45:48.710226,2022-09-01 08:48:15.103036,True,5
267,eat,sport,2022-08-31 03:33:48.710226,2022-08-31 20:51:27.519012,True,1
268,count sand on the beach,art,2022-08-31 08:21:48.710226,2022-08-31 21:51:50.847600,True,3
269,lay in bed,programming,2022-08-31 13:09:48.710226,2022-09-01 22:41:33.782844,True,4
270,buy socks,sport,2022-08-31 17:57:48.710226,2022-09-01 11:39:39.727179,True,3
271,buy pants,programming,2022-08-31 22:45:48.710226,2022-09-02 02:14:48.928285,True,1
272,brush your teeth,sport,2022-09-01 03:33:48.710226,2022-09-02 04:59:06.484816,True,3
273,brush your teeth,art,2022-09-01 08:21:48.710226,2022-09-02 06:59:57.886547,True,5
274,lay in bed,art,2022-09-01 13:09:48.710226,2022-09-02 10:15:33.952814,True,4
275,eat,art,2022-09-01 17:57:48.710226,2022-09-03 03:52:47.013443,True,5
276,lay in bed,sport,2022-09-01 22:45:48.710226,2022-09-02 15:17:54.449428,True,5
277,buy socks,programming,2022-09-02 03:33:48.710226,2022-09-03 02:08:28.164256,True,4
278,produce shitty code,art,2022-09-02 08:21:48.710226,2022-09-03 05:29:00.402642,True,3
279,nap,programming,2022-09-02 13:09:48.710226,2022-09-03 16:25:37.991193,True,5
280,produce shitty code,sport,2022-09-02 17:57:48.710226,2022-09-03 13:19:35.492355,True,4
281,produce shitty code,sport,2022-09-02 22:45:48.710226,2022-09-04 09:36:10.124463,True,5
282,go for a walk,art,2022-09-03 03:33:48.710226,2022-09-04 15:22:29.265764,True,5
283,count sand on the beach,sport,2022-09-03 08:21:48.710226,2022-09-04 09:52:39.490455,True,5
284,count sand on the beach,art,2022-09-03 13:09:48.710226,2022-09-04 17:19:41.405763,True,4
285,produce shitty code,art,2022-09-03 17:57:48.710226,2022-09-04 13:45:52.411147,True,1
286,get dressed,programming,2022-09-03 22:45:48.710226,2022-09-05 10:12:11.524697,True,5
287,count leaves of trees,sport,2022-09-04 03:33:48.710226,2022-09-05 08:57:41.604624,True,3
288,eat,programming,2022-09-04 08:21:48.710226,2022-09-04 21:52:46.706725,True,4
289,go for a walk,sport,2022-09-04 13:09:48.710226,2022-09-05 19:17:18.530891,True,4
290,count leaves of trees,art,2022-09-04 17:57:48.710226,2022-09-06 01:42:13.203793,True,1
291,lay in bed,sport,2022-09-04 22:45:48.710226,2022-09-06 08:15:32.905806,True,2
292,nap,sport,2022-09-05 03:33:48.710226,2022-09-05 19:09:30.233186,True,3
293,buy pants,sport,2022-09-05 08:21:48.710226,2022-09-06 08:08:44.808593,True,5
294,buy socks,sport,2022-09-05 13:09:48.710226,2022-09-06 15:32:09.480309,True,2
295,nap,sport,2022-09-05 17:57:48.710226,2022-09-06 12:49:52.046836,True,4
296,brush your teeth,art,2022-09-05 22:45:48.710226,2022-09-06 17:09:41.358201,True,2
297,buy socks,sport,2022-09-06 03:33:48.710226,2022-09-06 17:36:39.148582,True,4
298,get dressed,art,2022-09-06 08:21:48.710226,2022-09-07 02:37:12.537752,True,1
299,nap,sport,2022-09-06 13:09:48.710226,2022-09-07 12:05:07.400355,True,1
300,lay in bed,art,2022-09-06 17:57:48.710226,2022-09-07 18:28:38.483639,True,3
301,get dressed,sport,2022-09-06 22:45:48.710226,2022-09-07 14:50:37.663435,True,4
302,buy pants,sport,2022-09-07 03:33:48.710226,2022-09-08 09:25:03.355773,True,4
303,buy pants,art,2022-09-07 08:21:48.710226,2022-09-08 16:06:33.703776,True,1
304,get dressed,programming,2022-09-07 13:09:48.710226,2022-09-08 15:47:10.368409,True,2
305,nap,sport,2022-09-07 17:57:48.710226,2022-09-08 09:42:12.976168,True,5
306,count leaves of trees,sport,2022-09-07 22:45:48.710226,2022-09-08 22:47:08.356700,True,5
307,eat,programming,2022-09-08 03:33:48.710226,2022-09-09 10:30:19.111848,True,3
308,count sand on the beach,sport,2022-09-08 08:21:48.710226,2022-09-08 21:37:06.611320,True,2
309,drink coffee,sport,2022-09-08 13:09:48.710226,2022-09-09 23:17:55.826081,True,3
310,drink coffee,programming,2022-09-08 17:57:48.710226,2022-09-10 02:34:07.544778,True,5
311,sleep,sport,2022-09-08 22:45:48.710226,2022-09-09 16:26:41.659746,True,5
312,buy pants,sport,2022-09-09 03:33:48.710226,2022-09-10 08:45:44.171008,True,5
313,drink coffee,art,2022-09-09 08:21:48.710226,2022-09-09 21:38:41.670096,True,2
314,get dressed,art,2022-09-09 13:09:48.710226,2022-09-10 20:12:41.280770,True,2
315,produce shitty code,art,2022-09-09 17:57:48.710226,2022-09-10 14:52:33.727352,True,4
316,count sand on the beach,sport,2022-09-09 22:45:48.710226,2022-09-11 01:51:20.082936,True,4
317,sleep,sport,2022-09-10 03:33:48.710226,2022-09-11 06:56:21.179518,True,5
318,get dressed,art,2022-09-10 08:21:48.710226,2022-09-11 03:33:52.800143,True,2
319,buy socks,art,2022-09-10 13:09:48.710226,2022-09-11 23:54:26.341835,True,5
320,lay in bed,sport,2022-09-10 17:57:48.710226,2022-09-11 17:24:23.291672,True,4
321,buy socks,art,2022-09-10 22:45:48.710226,2022-09-11 23:45:27.538409,True,1
322,produce shitty code,art,2022-09-11 03:33:48.710226,2022-09-11 21:37:02.315056,True,5
323,drink coffee,art,2022-09-11 08:21:48.710226,2022-09-12 12:14:39.408448,True,4
324,get dressed,sport,2022-09-11 13:09:48.710226,2022-09-12 05:00:04.617656,True,3
325,buy pants,programming,2022-09-11 17:57:48.710226,2022-09-13 05:35:46.328568,True,2
326,buy pants,sport,2022-09-11 22:45:48.710226,2022-09-12 16:46:01.414341,True,5
327,eat,programming,2022-09-12 03:33:48.710226,2022-09-13 01:46:15.814303,True,1
328,brush your teeth,sport,2022-09-12 08:21:48.710226,2022-09-13 09:47:42.529859,True,3
329,produce shitty code,sport,2022-09-12 13:09:48.710226,2022-09-13 17:36:34.761215,True,1
330,lay in bed,art,2022-09-12 17:57:48.710226,2022-09-13 12:49:00.061734,True,2
331,eat,art,2022-09-12 22:45:48.710226,2022-09-13 19:52:57.068883,True,2
332,lay in bed,sport,2022-09-13 03:33:48.710226,2022-09-13 21:52:27.428340,True,4
333,count sand on the beach,art,2022-09-13 08:21:48.710226,2022-09-13 22:35:30.248469,True,3
334,brush your teeth,art,2022-09-13 13:09:48.710226,2022-09-14 12:44:20.913340,True,1
335,lay in bed,art,2022-09-13 17:57:48.710226,2022-09-15 01:16:06.674295,True,5
336,drink coffee,art,2022-09-13 22:45:48.710226,2022-09-15 02:03:45.836607,True,2
337,buy socks,programming,2022-09-14 03:33:48.710226,2022-09-15 14:08:23.315424,True,2
338,go for a walk,sport,2022-09-14 08:21:48.710226,2022-09-15 06:16:38.237506,True,1
339,get dressed,art,2022-09-14 13:09:48.710226,2022-09-15 01:41:44.087426,True,4
340,sleep,sport,2022-09-14 17:57:48.710226,2022-09-15 16:03:22.099849,True,4
341,drink coffee,art,2022-09-14 22:45:48.710226,2022-09-16 02:26:14.280802,True,1
342,lay in bed,programming,2022-09-15 03:33:48.710226,2022-09-16 12:39:58.748025,True,3
343,sleep,art,2022-09-15 08:21:48.710226,2022-09-16 12:12:09.623175,True,2
344,buy pants,programming,2022-09-15 13:09:48.710226,2022-09-17 00:09:13.603181,True,1
345,brush your teeth,art,2022-09-15 17:57:48.710226,2022-09-17 02:49:40.910519,True,3
346,buy socks,sport,2022-09-15 22:45:48.710226,2022-09-16 12:17:05.426092,True,1
347,produce shitty code,sport,2022-09-16 03:33:48.710226,2022-09-16 18:21:27.530699,True,1
348,lay in bed,art,2022-09-16 08:21:48.710226,2022-09-17 10:03:40.892241,True,4
349,nap,programming,2022-09-16 13:09:48.710226,2022-09-17 14:20:08.314069,True,1
350,count sand on the beach,programming,2022-09-16 17:57:48.710226,2022-09-17 23:06:45.193390,True,2
351,get dressed,art,2022-09-16 22:45:48.710226,2022-09-17 20:20:00.566511,True,5
352,lay in bed,sport,2022-09-17 03:33:48.710226,2022-09-18 06:13:48.271050,True,4
353,produce shitty code,art,2022-09-17 08:21:48.710226,2022-09-18 13:27:22.657584,True,2
354,go for a walk,programming,2022-09-17 13:09:48.710226,2022-09-18 17:53:40.141768,True,5
355,get dressed,programming,2022-09-17 17:57:48.710226,2022-09-19 04:57:14.810355,True,3
356,count sand on the beach,programming,2022-09-17 22:45:48.710226,2022-09-18 16:59:18.152923,True,4
357,count sand on the beach,art,2022-09-18 03:33:48.710226,2022-09-19 13:48:11.590276,True,4
358,lay in bed,programming,2022-09-18 08:21:48.710226,2022-09-19 04:33:09.974648,True,1
359,count leaves of trees,sport,2022-09-18 13:09:48.710226,2022-09-19 04:46:55.452926,True,2
360,buy socks,art,2022-09-18 17:57:48.710226,2022-09-19 11:00:16.496735,True,3
361,produce shitty code,art,2022-09-18 22:45:48.710226,2022-09-20 01:33:45.838354,True,3
362,buy pants,art,2022-09-19 03:33:48.710226,2022-09-20 13:51:14.119599,True,5
363,count leaves of trees,sport,2022-09-19 08:21:48.710226,2022-09-20 17:22:44.398867,True,5
364,brush your teeth,art,2022-09-19 13:09:48.710226,2022-09-20 10:27:57.580954,True,3
365,drink coffee,sport,2022-09-19 17:57:48.710226,2022-09-20 22:10:29.721212,True,5
366,buy socks,sport,2022-09-19 22:45:48.710226,2022-09-20 21:50:55.208268,True,1
367,count sand on the beach,programming,2022-09-20 03:33:48.710226,2022-09-20 22:22:21.912080,True,3
368,get dressed,art,2022-09-20 08:21:48.710226,2022-09-21 01:11:15.966948,True,5
369,brush your teeth,programming,2022-09-20 13:09:48.710226,2022-09-21 11:09:12.516737,True,2
370,get dressed,programming,2022-09-20 17:57:48.710226,2022-09-21 07:18:41.236730,True,4
371,go for a walk,sport,2022-09-20 22:45:48.710226,2022-09-21 17:04:35.177666,True,4
372,eat,art,2022-09-21 03:33:48.710226,2022-09-21 17:32:30.094302,True,1
373,produce shitty code,sport,2022-09-21 08:21:48.710226,2022-09-22 12:49:26.340123,True,3
374,brush your teeth,art,2022-09-21 13:09:48.710226,2022-09-22 14:24:57.799613,True,1
375,eat,sport,2022-09-21 17:57:48.710226,2022-09-22 13:27:41.320357,True,3
376,go for a walk,art,2022-09-21 22:45:48.710226,2022-09-22 12:13:29.858907,True,1
377,count leaves of trees,art,2022-09-22 03:33:48.710226,2022-09-23 04:06:32.768947,True,1
378,get dressed,programming,2022-09-22 08:21:48.710226,2022-09-23 15:58:52.975523,True,2
379,go for a walk,programming,2022-09-22 13:09:48.710226,2022-09-23 17:14:45.050655,True,1
380,buy socks,sport,2022-09-22 17:57:48.710226,2022-09-24 04:06:48.444915,True,1
381,lay in bed,art,2022-09-22 22:45:48.710226,2022-09-23 15:54:09.834466,True,2
382,produce shitty code,sport,2022-09-23 03:33:48.710226,2022-09-23 23:14:23.396114,True,4
383,produce shitty code,art,2022-09-23 08:21:48.710226,2022-09-24 09:00:49.824551,True,4
384,brush your teeth,sport,2022-09-23 13:09:48.710226,2022-09-24 21:22:06.666154,True,3
385,count leaves of trees,sport,2022-09-23 17:57:48.710226,2022-09-24 23:28:53.425691,True,1
386,produce shitty code,programming,2022-09-23 22:45:48.710226,2022-09-25 01:31:09.820822,True,5
387,brush your teeth,art,2022-09-24 03:33:48.710226,2022-09-24 15:46:48.956114,True,1
388,nap,sport,2022-09-24 08:21:48.710226,2022-09-25 08:13:30.920260,True,5
389,brush your teeth,programming,2022-09-24 13:09:48.710226,2022-09-25 05:57:36.377738,True,1
390,drink coffee,art,2022-09-24 17:57:48.710226,2022-09-26 01:09:03.258315,True,5
391,buy pants,art,2022-09-24 22:45:48.710226,2022-09-26 01:28:28.992338,True,4
392,nap,sport,2022-09-25 03:33:48.710226,2022-09-25 19:59:18.702545,True,1
393,eat,programming,2022-09-25 08:21:48.710226,2022-09-26 17:28:38.880593,True,4
394,eat,art,2022-09-25 13:09:48.710226,2022-09-26 10:52:00.616374,True,2
395,brush your teeth,art,2022-09-25 17:57:48.710226,2022-09-26 23:41:44.150501,True,4
396,buy socks,art,2022-09-25 22:45:48.710226,2022-09-26 23:41:54.069756,True,3
397,get dressed,programming,2022-09-26 03:33:48.710226,2022-09-26 21:33:43.686772,True,1
398,eat,art,2022-09-26 08:21:48.710226,2022-09-27 20:19:36.579325,True,3
399,get dressed,programming,2022-09-26 13:09:48.710226,2022-09-28 00:16:18.414050,True,2
400,brush your teeth,programming,2022-09-26 17:57:48.710226,2022-09-27 13:21:17.843357,True,3
401,count sand on the beach,art,2022-09-26 22:45:48.710226,2022-09-27 10:48:13.681003,True,4
402,produce shitty code,sport,2022-09-27 03:33:48.710226,2022-09-28 13:02:08.274221,True,4
403,drink coffee,art,2022-09-27 08:21:48.710226,2022-09-28 12:52:12.846460,True,3
404,buy socks,programming,2022-09-27 13:09:48.710226,2022-09-28 02:50:08.553245,True,3
405,buy socks,sport,2022-09-27 17:57:48.710226,2022-09-28 18:23:26.073032,True,2
406,produce shitty code,programming,2022-09-27 22:45:48.710226,2022-09-29 01:24:43.350099,True,1
407,buy socks,programming,2022-09-28 03:33:48.710226,2022-09-29 00:40:08.092474,True,3
408,count leaves of trees,programming,2022-09-28 08:21:48.710226,2022-09-29 18:28:35.018777,True,4
409,lay in bed,art,2022-09-28 13:09:48.710226,2022-09-29 03:02:42.501572,True,5
410,drink coffee,programming,2022-09-28 17:57:48.710226,2022-09-29 06:29:19.370991,True,2
411,buy pants,programming,2022-09-28 22:45:48.710226,2022-09-29 19:41:28.136280,True,2
412,count sand on the beach,sport,2022-09-29 03:33:48.710226,2022-09-29 19:12:07.832934,True,4
413,buy pants,programming,2022-09-29 08:21:48.710226,2022-09-30 03:46:57.882299,True,5
414,eat,art,2022-09-29 13:09:48.710226,2022-10-01 00:59:29.032793,True,2
415,produce shitty code,programming,2022-09-29 17:57:48.710226,2022-09-30 08:15:16.575891,True,5
416,produce shitty code,art,2022-09-29 22:45:48.710226,2022-09-30 21:26:16.155696,True,1
417,sleep,art,2022-09-30 03:33:48.710226,2022-10-01 11:03:17.898686,True,3
418,get dressed,programming,2022-09-30 08:21:48.710226,2022-10-01 08:25:54.295648,True,2
419,buy pants,art,2022-09-30 13:09:48.710226,2022-10-01 17:53:01.250590,True,5
420,eat,sport,2022-09-30 17:57:48.710226,2022-10-01 20:55:17.208476,True,1
421,brush your teeth,programming,2022-09-30 22:45:48.710226,2022-10-01 19:31:47.798840,True,4
422,eat,sport,2022-10-01 03:33:48.710226,2022-10-01 19:46:14.390072,True,3
423,drink coffee,programming,2022-10-01 08:21:48.710226,2022-10-02 15:55:14.820270,True,3
424,produce shitty code,art,2022-10-01 13:09:48.710226,2022-10-02 21:32:40.127642,True,3
425,brush your teeth,sport,2022-10-01 17:57:48.710226,2022-10-02 08:58:32.705843,True,1
426,produce shitty code,art,2022-10-01 22:45:48.710226,2022-10-02 13:32:56.697180,True,5
427,count sand on the beach,programming,2022-10-02 03:33:48.710226,2022-10-02 16:41:10.786801,True,2
428,drink coffee,programming,2022-10-02 08:21:48.710226,2022-10-03 00:45:04.713244,True,5
429,sleep,art,2022-10-02 13:09:48.710226,2022-10-03 12:51:49.765081,True,4
430,produce shitty code,art,2022-10-02 17:57:48.710226,2022-10-03 16:23:31.063838,True,1
431,produce shitty code,programming,2022-10-02 22:45:48.710226,2022-10-03 21:46:22.881038,True,4
432,buy pants,art,2022-10-03 03:33:48.710226,2022-10-04 15:33:38.238455,True,1
433,produce shitty code,programming,2022-10-03 08:21:48.710226,2022-10-04 02:54:24.812362,True,1
434,buy socks,sport,2022-10-03 13:09:48.710226,2022-10-04 18:59:39.277441,True,3
435,drink coffee,art,2022-10-03 17:57:48.710226,2022-10-05 03:08:52.666483,True,1
436,brush your teeth,programming,2022-10-03 22:45:48.710226,2022-10-04 11:31:21.244145,True,1
437,count sand on the beach,sport,2022-10-04 03:33:48.710226,2022-10-05 03:01:03.418867,True,5
438,count leaves of trees,sport,2022-10-04 08:21:48.710226,2022-10-05 02:56:49.052731,True,3
